N0,N173,N321,N412,N532,N610,N758,N804,N1144,N1207,N1239,N1450,N1630,N1674,N1685,N1779,N1807,N1829,N1834,N1882,N1904,N1909,N1926,N1928,N1962,N2020,N2111,N2121,N2276,N2288,N2354,N2363,N2381,N2408,N2497,N2597,N2626,N2641,N2833,N2855,N3070,N3172,N3179,N3183,N3252,N3344,N3507,N4149,N4242,N4377,N4389,N4438,N4480,N4847,N5022,N5039,N5122,N5593,N5625,N5675,N5772,N5849,N6041,N6049,N6064,N6167,N6169,N6218,N6277,N6281,N6283,N6347,N6477,N6539,N6584,N6596,N6623,N6768,N6854,N6973,[Factor_0]
AML,1.117333229,1.075955906,1.103007643,1.900471281,0.127628496,-1.44E-01,0.880488978,-3.49E-01,0.712615687,1.701055696,0.419886099,-3.49E-01,2.320026228,-1.69E-01,2.202448981,0.576444504,1.780185617,1.360103523,1.949805325,-1.14E+00,-1.08E-01,0.035696003,1.649564102,1.486882417,1.556825787,1.724685902,2.080795173,-5.96E-01,2.214535311,1.378055085,1.781903043,1.168685145,1.168685145,-1.46E+00,1.922317194,-8.92E-01,0.180650537,-1.15E+00,0.478426392,-9.15E-01,-6.91E-01,-9.80E-01,1.797601718,1.594540706,1.801151164,0.213095301,-5.96E-01,2.03969937,1.515635892,-8.54E-02,0.854112782,0.731553702,1.841781729,0.989362894,0.720798001,1.549192755,1.075955906,1.091771905,-1.18E+00,1.843702287,0.589990405,1.871333139,-1.68E+00,-8.92E-01,1.028255986,0.772136366,2.369450071,-4.21E-01,-3.49E-01,0.931912629,0.538451885,0.517232757,0.954680896,0.543132096,0.501021872,-7.38E-03,-1.07E+00,0.431241739,-1.11E+00,Cluster 2
AML,0.614014024,0.499427987,0.850573505,1.685572116,0.469182011,-1.50E-01,1.577840189,0.072671396,0.441490158,1.802934429,0.476456102,-3.35E-01,2.618290873,-1.71E-01,2.438985152,0.946945181,0.268116165,0.946945181,2.425444296,-8.21E-01,0.05417444,-3.35E-01,1.51897093,-6.39E-01,1.566946374,1.505184626,1.942794775,-1.05E+00,2.062754871,1.040261246,1.390428049,1.115038841,1.144999689,-1.24E+00,1.781043674,-1.34E+00,0.254654398,-6.25E-01,0.281443787,-5.18E-01,-5.86E-01,0.90775785,1.834166647,1.498667615,1.865291523,0.196398924,-7.63E-01,1.991462406,1.436737703,-1.50E-01,1.339555324,0.723536171,1.830398651,0.995981028,0.51021162,1.51066472,0.812808824,0.846541619,-9.27E-01,0.846541619,0.584559186,1.58520809,-1.32E+00,-3.46E-01,1.055175188,0.587899423,1.729372434,-5.98E-01,0.136673217,0.922186167,0.568160992,0.400570799,0.573126383,0.66777332,-2.31E-01,0.174756633,-3.83E-01,0.3763039,-8.52E-01,Cluster 2
AML,0.134011877,0.746337441,0.983072802,2.001784652,0.284005419,-2.53E-01,1.298438708,0.704706145,0.662509371,1.618826307,-8.27E-02,0.910947747,2.099539239,0.875319814,2.91942273,-4.66E-01,1.407263942,0.704706145,1.81103093,-1.15E+00,0.27121552,-2.95E-01,1.773367894,1.49650936,1.303355681,1.716958174,1.802934429,-1.02E+00,1.954532813,0.988502852,1.841781729,1.132559333,0.910947747,-1.08E+00,1.88987992,-6.67E-01,0.364441803,-9.14E-03,0.699981527,-1.61E+00,-1.27E+00,-5.50E-01,1.877443844,1.593914201,1.690688358,0.48395313,-7.04E-01,2.074706478,1.684118405,0.031122516,1.096249595,0.883601799,1.75503248,0.988502852,0.797734553,1.23756121,0.75753311,1.027957752,-9.80E-01,1.832279397,0.618477925,1.819247921,-1.47E+00,-1.15E+00,0.561150553,0.440133956,3.526672849,-1.25E+00,0.174756633,0.163699467,0.72399306,0.146439897,1.961707008,0.535811763,0.404192759,-2.24E-01,-4.25E-01,0.900086793,-5.40E-01,Cluster 2
AML,-7.93E-01,0.762461149,1.322081199,1.915667038,0.509010527,-1.97E-01,1.751761419,0.442847173,0.715110755,1.103330712,-8.13E-01,0.299231205,2.53136229,0.305303959,3.003929536,0.579353074,1.571160718,0.821646917,0.020922326,-2.59E-01,0.430277258,0.821646917,1.565747373,1.885702097,1.350414216,1.727806037,1.763293322,-1.02E+00,1.642749157,1.037547022,1.627357923,1.006136654,1.209686494,-1.56E+00,1.845629671,-8.01E-01,0.339751008,-8.96E-01,0.329524852,-1.52E+00,-6.87E-01,-5.76E-01,1.839867939,1.822939686,1.263302266,0.074786799,-1.50E-01,2.001784652,1.487945281,-2.38E-01,0.401904592,0.265383579,1.824794925,0.981079551,0.766228306,1.199156479,1.260573705,0.042909594,-9.84E-01,1.170775878,0.828317823,1.521763091,-2.39E+00,-1.19E+00,0.908023322,0.899559707,1.841781729,0.360311619,0.255199232,1.270362108,0.126033473,0.59480949,1.102039125,0.715110755,0.824854252,0.270121334,-6.14E-01,0.708316436,-1.15E+00,Cluster 2
AML,0.210937687,1.017576572,1.144999689,1.929053467,0.591455628,-9.16E-01,1.512869515,0.377813959,1.02141959,1.738861118,-1.14E-01,-5.89E-01,2.761641597,-1.23E+00,2.445926897,0.56362166,1.322924251,0.953295335,2.244065821,-5.75E-01,0.643146491,-1.57E-01,1.648879155,0.394482485,1.010520972,1.771676278,1.70933164,-4.41E-01,1.947457828,0.831046186,1.732518018,1.152481423,1.075328856,-1.45E+00,1.865291523,-6.96E-01,0.122844384,-1.29E-01,0.339006101,-1.21E+00,-1.00E+00,-6.02E-01,1.712370309,1.553879286,1.845629671,-1.65E-02,-7.55E-01,2.045361931,1.628019126,0.027077285,0.928660715,0.765992541,1.710849,1.161062469,0.595229193,1.501375289,0.804276684,0.758235987,-1.43E+00,0.78164577,0.682123896,1.618174892,-2.24E+00,-1.40E+00,0.918427141,1.031542613,1.894090993,1.394600034,0.319518048,0.934902231,0.403429802,0.396573683,1.468031504,0.541299298,0.704931518,-4.71E-02,-1.05E+00,0.692365073,-9.72E-01,Cluster 2
AML,0.362939202,0.628085244,1.181307189,1.991462406,0.278884,0.524481202,1.281871343,0.561562166,0.937627321,1.669773271,0.752156755,0.90404794,2.139405257,0.608927356,0.55519279,0.618265079,0.9577356,0.790745636,1.730943085,-7.66E-01,0.886202371,-1.93E-03,1.519528415,1.494358053,1.240591678,1.364996427,1.650249824,0.06597472,-1.59E+00,1.292741629,1.390890408,0.950805926,0.618265079,-9.36E-01,1.894090993,-9.83E-01,0.410878739,-8.04E-01,0.549050253,-1.01E+00,-9.68E-01,-1.65E+00,1.326729677,0.370837093,1.588303607,0.514822654,0.214354366,2.036892439,1.547444046,0.530137975,0.965271679,0.752156755,1.064732996,0.992810409,0.906696603,1.797601718,1.142970309,1.107865831,-5.29E-01,1.291526272,0.387082045,1.437725365,0.586019735,-3.00E-01,0.852847528,1.145677199,0.203573181,-7.15E-01,0.549050253,1.17287174,0.577067358,-8.93E-02,1.210417656,0.662071538,1.295584912,-4.45E-02,-6.73E-01,1.045105549,-1.34E+00,Cluster 2
AML,1.519528415,0.547415745,1.216658844,1.841781729,0.460954887,0.079547693,1.227789814,-5.66E-01,0.643578947,1.676902704,-2.16E-01,0.177434916,2.812910953,-1.50E-01,1.898335924,-1.97E-01,1.522883284,1.395530445,2.640595126,-9.52E-01,0.65595513,0.624449043,1.343012953,1.573581498,1.252058731,1.785353749,1.917874343,-1.40E+00,1.999184069,1.108515567,1.009935275,0.968919781,0.868122024,-1.54E+00,1.764960011,-8.12E-01,0.715564882,-1.19E+00,0.530137975,-1.37E+00,-6.02E-01,-1.14E+00,1.799373607,1.595167837,1.857340473,0.460954887,-5.76E-01,2.164329741,1.360103523,0.643578947,1.097532979,1.004679506,1.90261534,1.040563299,0.75917374,1.726243869,0.904841872,0.285653166,-4.45E-01,0.636673998,0.646826215,1.909100539,-1.05E+00,-1.29E+00,0.828565601,0.455487454,1.475300188,-5.66E-01,-2.74E-01,0.8903758,1.08509612,0.431627644,0.927038435,1.003515322,0.541706429,0.279980827,-6.55E-01,0.21273563,-7.44E-01,Cluster 2
AML,1.61947841,0.980795119,1.295991951,2.086962,0.402476436,0.03446461,0.672394497,0.002461273,0.693259036,1.341282135,1.674040715,0.214354366,2.036892439,-6.12E-01,1.841781729,0.520652224,1.631335864,1.519528415,1.739658943,-4.40E-02,0.704706145,-5.60E-01,1.308718207,0.749127546,1.723132109,1.649564102,2.248448235,-1.26E+00,1.628681041,0.070027599,1.940479001,0.81085342,1.174972768,-1.66E+00,1.725464362,-9.65E-01,1.398328951,-1.14E+00,-1.24E-01,-2.09E+00,-5.87E-01,-6.12E-01,1.88987992,1.186977848,1.423055189,-2.54E-01,-5.29E-01,2.017679686,0.892992085,-1.50E-01,0.462323894,0.676809007,1.870321454,1.395996104,1.042983154,2.007026806,0.799911458,0.635597844,-3.39E-01,1.720036946,0.608292632,1.380330459,-1.75E+00,-7.51E-01,0.422191291,0.652688564,0.176006341,-5.49E-01,-3.65E-01,0.746802055,-4.98E-02,0.616563321,0.76481435,-3.01E-01,-4.97E-01,0.476456102,0.275230325,0.410304939,-1.96E-01,Cluster 2
AML,1.636680274,1.357006732,1.229659818,1.924552925,0.439940279,-5.41E-01,1.423539276,0.361249755,0.987357264,1.665536021,0.754257949,0.553347839,2.872848475,-8.29E-01,1.644785627,0.47448766,1.679778495,1.419194448,2.761641597,-5.60E-01,1.087315999,-9.32E-01,1.161752652,1.810125444,1.291526272,1.845629671,2.056887879,-1.21E+00,1.922317194,1.534191834,1.027063599,0.759877493,1.094008009,-7.18E-01,1.60084046,-1.11E+00,1.166599508,-9.61E-01,0.493263602,-5.41E-01,-6.73E-01,-1.76E+00,1.740457876,1.203497545,1.959304392,0.294087214,-4.29E-01,2.025822289,1.289101265,0.222096164,1.030645156,0.80039573,2.051090845,1.269968233,0.877384666,1.685572116,0.48099055,0.725135944,-9.61E-01,0.590618202,0.691918299,1.795835455,0.990510758,-1.17E+00,0.998003919,0.420654248,0.320628319,-1.13E+00,-1.48E-01,1.030645156,0.759877493,0.303646646,0.607869618,1.183075184,0.282724371,0.13844798,-4.18E-01,0.444205004,-1.95E-02,Cluster 2
ALL,-1.26E+00,0.177613513,1.597053005,1.865291523,0.731094293,1.52907878,1.832279397,0.766464114,0.686790278,1.823866521,-6.88E-01,0.72285112,1.945121015,1.783625741,-3.43E-01,0.051181604,0.368954562,0.241238623,0.320443246,-2.63E-01,1.843702287,-4.45E-01,1.839867939,1.949805325,0.813542902,0.987929896,1.339124246,-4.45E-01,-1.43E+00,1.911280224,-2.38E-01,1.071887612,1.481593122,-1.30E+00,2.020379024,-6.78E-01,1.064423162,0.49167584,1.075955906,-1.64E+00,-1.55E-02,-1.65E+00,1.56216381,-3.92E-01,2.109194924,0.362751435,-6.88E-01,2.19067607,0.788824451,0.580184993,1.461862361,1.472175511,0.314711407,1.193761724,0.757767361,1.538770685,1.401138452,1.262521718,-2.92E-01,1.742059083,0.842774185,1.281871343,2.157070904,-6.44E-01,1.326729677,0.339751008,-6.96E-01,-5.90E-01,0.75893924,1.491678608,1.4446786,0.981079551,0.006504832,0.916552487,1.00293374,0.653123703,0.362751435,1.30294473,0.487315864,Cluster 1
ALL,0.452369319,0.672835357,1.605288381,2.139405257,0.047133197,0.184404461,1.657150116,1.066904708,1.672614847,1.841781729,-7.29E-01,1.658539684,2.438985152,1.378964378,-7.63E-01,0.455682484,0.985927099,-9.79E-02,1.284273861,-5.95E-01,0.706284514,-1.95E-01,1.689954755,1.883625468,1.251289134,1.696590211,1.568147632,0.022504945,-9.23E-01,1.634002235,1.063184843,1.116021431,0.954680896,-1.56E+00,1.920091031,-6.64E-01,1.089541248,0.303094393,0.548232816,-6.76E-01,-8.65E-01,0.083604688,1.563356101,0.047133197,1.836060452,0.713749258,-3.00E-01,2.175436537,0.929743594,0.059633234,1.161752652,0.480793195,0.403429802,0.900086793,0.457633741,1.462886689,0.993098234,1.047536921,-9.35E-01,1.171124831,0.415665691,0.743089644,1.857340473,-5.95E-01,1.360103523,0.348517924,-1.24E+00,-8.49E-01,0.616350726,1.176376339,0.444010978,0.652036087,0.108508461,0.459586742,1.428886384,0.444010978,-2.79E-01,1.050584873,-8.09E-01,Cluster 1
ALL,-1.44E+00,0.132947608,1.177078995,2.198490744,0.550686229,0.637104665,1.947457828,1.353044168,1.579062229,1.891981263,-1.15E+00,1.640719477,1.952163615,1.648879155,-9.03E-01,0.336586451,0.079900422,0.275230325,0.176899158,-9.33E-02,1.449185684,-3.99E-01,2.014994971,1.604014306,1.177078995,0.672835357,1.653000501,0.196936639,-1.45E+00,1.877443844,-3.45E-01,1.260573705,1.748508996,-9.24E-01,2.077741197,-3.33E-01,1.074702229,1.308718207,0.612740872,0.373474847,0.181544096,-6.33E-02,1.542226115,-1.73E-01,1.151116313,0.325814834,-5.54E-01,2.467490152,-1.90E-01,0.123198665,1.164172662,0.708542385,0.275230325,1.000320806,0.631086008,1.60274283,1.25167384,1.394135281,-8.78E-01,1.855370942,0.525086479,0.135608566,1.637351621,-9.97E-01,0.802092161,-1.67E-01,-2.78E-01,-8.46E-01,0.594389892,1.298847258,0.883861587,0.887504906,-6.18E-01,0.783556135,1.027957752,0.387840083,0.26392701,0.656391201,0.017405578,Cluster 1
ALL,0.474684422,-2.53E-01,1.565148716,2.09320923,0.692141669,1.952163615,1.778473426,0.573748049,0.810365053,1.851453333,-8.51E-01,0.934358046,2.046787871,1.432310475,-7.98E-01,0.492271105,0.780930119,0.334354675,-1.41E+00,-6.65E-01,2.014994971,-2.21E-01,1.894090993,2.20644203,1.091452907,1.104300611,1.233036704,0.500424016,-1.50E+00,1.981348085,0.657918433,1.451198316,1.461862361,1.388120699,1.988914703,-8.90E-01,0.836272138,-4.00E-01,0.828565601,-1.49E+00,-8.26E-01,-8.14E-01,1.520086372,-1.72E-01,2.046787871,0.328968062,-6.55E-01,2.160686092,0.449255577,0.384809264,1.133227305,0.752390057,0.897979946,1.150434562,0.921379566,1.490076067,0.856140037,1.173221552,-6.98E-01,1.986379845,0.825101322,0.987357264,-1.90E+00,-1.03E+00,1.681221615,0.252838828,0.083428269,-4.63E-01,0.641201924,1.491144002,1.001771592,0.858170816,0.147150735,0.454512562,0.308068014,0.616988593,0.080605911,1.473215473,0.470949086,Cluster 1
ALL,0.577067358,0.201958072,1.454734632,2.115742999,0.34217326,1.795835455,1.585825979,0.747034422,0.66185267,1.915667038,-5.84E-02,0.869147522,2.09320923,1.495432841,1.10884061,0.43607019,1.161407491,0.556013375,-1.24E+00,-2.29E-02,1.657150116,-6.24E-01,1.830398651,2.135951027,0.954958228,1.441690105,1.282671359,0.40266708,0.379135967,1.80651826,1.329277339,1.22183446,1.266040264,1.616874117,1.988914703,0.243773341,1.069081462,0.452953634,0.984213559,-6.49E-01,-3.79E-01,-1.50E+00,1.664130227,-1.44E-01,2.11245764,0.991085179,-9.52E-01,2.226954069,1.539920453,0.854872591,1.203497545,0.711030224,0.943372799,0.743553134,0.740543292,1.274707812,1.157276309,1.223319233,-8.86E-01,1.813756336,0.437810919,1.133227305,-7.54E-01,-1.39E-01,1.524567166,-1.88E-01,0.427001007,-7.40E-01,0.881266383,1.233036704,1.070951292,0.559710656,0.457438537,-1.92E-01,0.667114316,0.455682484,0.357686521,1.299665007,0.301070258,Cluster 1
ALL,0.296658228,0.096490682,1.011400169,2.009668702,0.507010336,-5.04E-01,1.915667038,1.566946374,1.674040715,1.875399154,-1.30E+00,1.627357923,2.065715198,1.727024426,-6.63E-02,-2.84E-01,0.310465434,-2.04E-01,1.336542982,-6.89E-01,1.616874117,-3.56E-01,1.98009795,1.769989716,1.016691854,0.802334696,1.626037648,0.059809353,-7.49E-01,1.847563935,-5.44E-01,1.295991951,1.658539684,-1.22E+00,2.056887879,-6.78E-01,1.164172662,0.723307783,-3.91E-01,0.330081745,0.3975248,-9.02E-01,1.573581498,-4.69E-01,1.196274944,0.510411874,-3.12E-01,2.261861048,-4.31E-01,0.243592238,1.326305903,0.885942044,0.405528501,1.345616751,0.456657895,1.58520809,1.528513125,1.558008181,-9.74E-01,1.865291523,0.464085321,0.621460714,1.400200724,-8.50E-01,1.179190457,0.401332879,-1.04E+00,-7.36E-02,0.577482718,1.419675884,0.78786495,0.577482718,0.03639968,1.028554311,1.096891061,0.253928069,0.420654248,1.110141958,-1.29E-01,Cluster 1
ALL,0.514421261,0.014064867,1.571160718,2.053980734,0.536014716,1.437725365,1.885702097,0.523271223,0.663166359,1.743664769,-6.70E-01,0.350573604,1.959304392,0.814522355,-8.51E-01,0.481977606,0.8566474,-1.63E-01,-1.26E+00,-1.03E+00,1.248601364,-2.91E-01,1.847563935,2.182992933,1.046624431,0.965832089,1.759974563,0.477046995,-1.47E+00,1.913469028,0.663166359,1.506277029,1.307477363,1.349102736,2.042522464,-5.21E-01,0.96107823,-6.97E-01,0.448672236,-1.01E+00,-1.69E-01,-6.36E-01,1.552704453,-8.68E-02,1.942794775,0.244316698,-6.09E-01,2.15348369,0.277422086,0.205727486,1.045105549,0.611044879,-2.82E-01,1.198795743,0.631515152,1.671192373,0.778547496,0.894827128,-7.17E-01,1.906929885,0.533986172,0.456267679,-2.24E+00,-2.47E-01,0.647476486,0.554372579,-1.28E+00,-2.10E-01,0.402476436,1.46596892,0.844028665,0.950529689,0.508610326,0.593760691,0.124970302,0.728341073,-3.41E-01,1.131224902,0.350573604,Cluster 1
ALL,-1.06E+00,0.199446727,1.148732518,1.945121015,0.426615867,1.270756181,1.90476818,0.796768253,1.110793337,1.665536021,-3.22E-01,1.49650936,2.125738509,1.90261534,-1.14E+00,0.452174582,-1.01E+00,0.247215826,-1.12E+00,-1.11E+00,1.355242965,-5.57E-01,1.915667038,1.959304392,1.264474533,1.313285305,1.576011535,0.22967079,-1.64E+00,1.815580785,-9.19E-01,1.323768246,1.935878429,-1.05E+00,2.017679686,-9.15E-01,0.989362894,0.12266725,0.76128613,-1.69E+00,0.174578126,-9.35E-01,1.724685902,-1.11E-01,1.591414418,0.28034651,-5.73E-01,2.235428129,0.309543139,0.192636506,1.222205401,1.331833659,-1.06E+00,1.206404236,0.851331024,1.692894647,1.121280209,0.681680254,-1.35E+00,1.961707008,1.114711551,-1.02E+00,-1.96E+00,-9.49E-01,1.1517986,0.759642867,-8.34E-01,-2.28E-01,0.273039886,1.542226115,1.013160912,1.03184195,0.723536171,0.648127032,0.409731274,0.599221618,0.397715067,1.558600196,0.207343841,Cluster 1
ALL,-1.49E+00,0.365193411,1.124582752,2.03969937,0.333239412,-4.24E-01,1.917874343,1.533052133,1.46596892,1.751761419,-1.57E+00,1.466999432,2.014994971,1.187333532,-7.52E-01,0.340682406,1.095929031,-2.88E-02,0.347023808,-7.99E-01,1.843702287,-5.14E-01,1.900471281,1.830398651,0.869147522,1.30541375,1.557416712,0.756596522,-1.33E+00,1.909100539,1.12557591,1.429862986,1.612342814,0.547824235,2.11245764,0.242505787,1.004097244,1.536477233,0.543539632,0.527711577,-3.52E-01,-1.43E+00,1.643427223,-1.87E-01,1.799373607,0.524481202,-5.73E-01,2.304740855,0.68523316,0.389167186,0.72582213,0.813053468,-1.31E+00,1.005553539,0.211476998,1.415354745,1.147033797,1.430840953,-7.45E-01,1.715424871,0.621034263,0.301622172,1.988914703,-1.29E+00,1.836060452,-1.16E+00,-1.30E-01,-5.39E-01,0.978806311,1.055175188,0.75917374,0.879453266,-6.44E-01,1.100749374,1.149412936,0.512215079,-2.93E-01,1.210417656,-4.92E-01,Cluster 1
ALL,-3.50E-01,0.287118481,1.169729872,2.031326247,0.487117904,0.636673998,1.931318469,1.575403153,1.531346307,1.885702097,-1.56E-02,1.219242569,1.954532813,1.257466798,0.683677702,0.471145519,-1.09E-02,0.22119528,0.849312058,-2.09E-01,1.10107164,-2.88E-01,1.946288093,1.790570012,1.196994396,1.370821409,1.606565068,-9.81E-01,-7.95E-01,1.743664769,0.438004415,1.214450669,1.375786824,-1.50E+00,1.981348085,-4.32E-01,0.475471651,0.901669554,0.779738254,-5.62E-01,-9.58E-01,0.540078442,1.452711656,-1.86E-01,1.318299038,0.484743868,-7.95E-01,2.248448235,0.66185267,-2.83E-01,1.221093083,1.775914873,0.840769771,0.88204432,0.22119528,1.499749365,1.255917887,0.991372512,-8.31E-01,1.549776712,0.39239301,0.450422718,0.83005334,-2.11E-02,1.582742569,0.060161596,0.601748076,-3.34E-01,1.084146379,1.403959056,0.673938081,0.465848189,0.245947203,0.475471651,1.124582752,-1.22E-01,-4.89E-01,0.76481435,-8.87E-01,Cluster 1
ALL,-1.30E+00,0.141998821,1.046016589,2.024455841,0.385945406,-3.28E-01,1.879496413,1.457780307,1.538770685,1.797601718,-1.01E-01,1.60274283,1.973893235,1.039355654,-4.62E-01,0.396573683,0.159424715,0.082193407,-1.75E+00,-7.15E-01,1.498667615,-4.62E-01,1.781903043,1.863292698,0.953018442,1.545700057,1.419194448,0.345343854,-1.26E+00,1.987645678,1.105271551,1.280672854,1.615576072,-1.81E+00,2.059812512,-2.66E-01,1.622093734,1.612988118,0.756596522,-1.60E+00,-5.48E-01,-1.53E+00,1.583974126,-8.29E-02,1.016691854,0.128337499,-7.46E-01,2.226954069,0.58727263,0.307699338,0.04783721,0.630013655,-7.25E-01,0.368390058,0.185835208,1.463912555,1.555645566,1.180248162,-1.37E+00,1.720036946,0.483557874,0.270303676,1.548026423,-2.26E-01,1.69733211,-5.73E-02,-4.69E-01,-3.16E-01,1.135904264,1.235295796,0.515023382,0.593760691,0.079018618,0.943098499,1.494358053,0.2770567,-5.33E-01,0.899559707,-6.64E-01,Cluster 1
ALL,0.973145218,0.987357264,1.648879155,1.945121015,0.5327701,1.24975216,1.58892454,0.390305248,1.12690185,1.764960011,0.075492007,0.29482159,2.363666276,1.837960865,1.610410922,-5.84E-01,0.972016738,0.689240549,0.163877646,-1.74E-01,0.845033207,0.001758051,1.821090701,1.949805325,0.92595827,1.451198316,1.70933164,-7.18E-02,-1.83E-01,1.769989716,1.24975216,0.8903758,1.379419453,-8.99E-01,2.020379024,-6.78E-01,0.631944412,-6.91E-01,0.776644576,-1.10E+00,-1.03E+00,-1.55E+00,1.353483404,-2.40E-01,1.999184069,0.29482159,-6.56E-01,2.059812512,1.174972768,-1.74E-01,1.259407191,1.569351157,0.918695212,1.186622313,0.624235406,1.477915133,0.78164577,1.092410235,-4.91E-01,1.097211964,0.659665722,0.320073134,0.504812465,-1.24E+00,1.674040715,0.554987702,-3.06E-01,-6.03E-01,0.788824451,1.209686494,0.119833615,0.645093492,1.073137503,0.444593105,1.037547022,0.05452657,-1.74E-01,1.01022808,0.075492007,Cluster 1
ALL,-1.19E+00,0.73846348,1.654380542,2.244065821,0.730405469,2.025822289,2.009668702,0.91174667,0.813053468,1.924552925,-1.63E-01,0.762461149,1.959304392,2.105954509,-4.80E-01,0.34459752,0.194786122,0.074081628,-1.18E+00,-3.05E-01,1.373525618,-6.50E-01,1.853408582,2.034101466,0.754725334,1.364104377,0.970326335,0.217593529,-1.20E+00,2.142885205,0.578313737,1.065663114,1.380786393,1.194479017,1.976365996,0.237620279,0.914413961,0.44052136,1.322924251,0.361812789,-1.05E-03,-6.73E-01,1.470100352,-2.68E-01,2.168002353,0.861223639,-7.89E-01,2.122383069,0.906696603,0.697064581,1.644785627,1.312037018,0.918695212,0.928390165,0.204650214,1.06349427,1.407737325,1.379874813,-1.50E+00,1.851453333,0.433944426,0.999741081,0.452174582,-3.80E-01,0.998003919,-2.67E-02,-4.93E-01,-7.58E-01,0.869404039,1.289101265,1.458798542,1.037848225,0.15372956,0.528924386,0.956901613,1.462886689,-1.35E-01,1.530778687,-1.54E-01,Cluster 1
ALL,0.036223759,0.525893815,1.212981836,2.020379024,0.531554815,-4.87E-01,1.57176505,1.062566295,1.647511577,1.834166647,-5.24E-01,1.389965987,2.202448981,0.302726277,-1.66E-01,-8.40E-01,1.278281378,0.008614554,1.036343151,-6.53E-01,1.857340473,-4.41E-01,1.635339789,1.773367894,1.252058731,1.086998545,1.633334553,0.225160525,-1.20E+00,1.53191442,-1.96E-01,1.154533124,1.309546558,0.596488931,1.978850901,-4.87E-02,1.433783096,1.301303119,0.541502852,-1.59E+00,0.442459371,-1.18E+00,1.527947959,1.149412936,1.638023707,0.726050934,-7.39E-01,2.214535311,1.016691854,0.628727788,1.491144002,1.077839599,0.502218121,1.009642556,0.113992255,1.513421864,1.168685145,1.200239626,-9.14E-01,1.401138452,0.684566333,0.726050934,2.007026806,-6.53E-01,1.88987992,-4.77E-01,-4.87E-01,-6.73E-01,0.318408172,0.978238791,1.251289134,0.834278613,0.646609518,0.473307478,1.003515322,0.644660614,0.962474166,0.913079503,0.043437501,Cluster 1
ALL,0.17172276,0.61358953,1.247835084,2.132522095,0.504413115,1.894090993,1.783625741,0.839268674,1.000900868,1.996596937,-8.77E-02,1.3378325,2.034101466,1.959304392,0.452369319,-2.59E-01,0.841020138,-1.87E-01,-2.09E-01,-4.38E-01,1.841781729,-3.95E-01,1.740457876,2.102736056,0.540281862,1.252058731,1.505184626,0.353940648,-1.52E+00,2.056887879,0.943098499,1.233789036,1.208955977,1.331407001,1.920091031,0.277787509,1.268001803,0.282907349,1.222576509,0.675262432,0.126742332,0.418926261,1.457271755,-3.58E-01,2.105954509,0.87043068,-9.39E-01,2.214535311,0.881007189,0.69818578,1.80831891,0.888287151,1.059171522,0.892992085,0.802334696,1.17287174,1.423055189,1.301713193,-6.72E-01,1.891981263,0.301806164,0.599852873,1.326305903,0.016174769,1.751761419,-2.71E-01,-7.84E-01,-1.93E-01,1.024683196,1.376693278,1.311205961,0.868891062,0.403811252,0.548845859,0.894302523,0.766228306,1.07941227,1.607844378,0.518036792,Cluster 1
ALL,-5.64E-01,0.139513047,1.58892454,2.179199181,0.720798001,1.877443844,1.785353749,1.213715925,1.400669434,1.871333139,-1.22E+00,1.12657018,1.869311679,2.058347995,1.857340473,0.063508285,0.398095643,0.177077738,-4.20E-01,-5.13E-01,1.654380542,-3.63E-01,1.817411298,2.053980734,0.952464876,0.841270557,1.569351157,0.679021213,-1.10E+00,1.834166647,0.537842293,1.085729825,1.634670646,1.250136127,1.922317194,-1.33E-01,0.7526234,-3.15E-01,0.988502852,-4.38E-01,-2.29E-01,0.452564073,1.524005392,-4.51E-01,1.935878429,0.611256782,-5.93E-01,2.186818365,0.779261818,0.688349063,1.411059874,1.277088377,1.086998545,1.016986672,0.471145519,1.137917338,1.617524162,0.854619266,-8.94E-01,1.933593424,0.693929872,-1.54E-01,1.189114214,-6.70E-01,2.071690746,0.098257087,0.101790823,-5.93E-01,0.9149482,1.475300188,1.210417656,0.64444422,0.781407175,0.751457095,1.001771592,0.950805926,-7.17E-01,1.40915937,0.528924386,Cluster 1
ALL,-1.99E-02,-1.79E-01,1.215922127,2.257344867,0.523069634,-7.87E-01,1.604014306,0.385756014,1.350851893,1.830398651,0.291518142,0.609774037,2.182992933,1.016986672,1.108515567,0.270303676,0.93899248,0.15533081,0.291518142,-6.68E-03,0.704931518,-4.88E-01,1.917874343,1.751761419,1.269181072,1.439704906,1.730943085,0.308252368,-1.01E+00,1.436737703,1.681221615,1.239832993,1.083830016,-1.26E+00,2.017679686,0.007911309,0.828317823,-2.94E-01,0.731323978,-7.36E-01,-9.95E-01,0.353566334,1.769989716,1.591414418,2.007026806,0.755192883,-9.40E-01,2.186818365,0.613377324,0.437230529,1.112097511,-1.47E-01,0.848051961,0.699981527,0.729487576,1.298847258,1.248218133,1.277883509,-1.45E+00,1.947457828,0.549254669,1.675469994,1.638023707,-1.16E+00,1.05272426,0.116646924,-1.15E-01,-3.81E-01,0.289867612,0.96387198,1.012867237,0.689240549,1.03214138,-3.32E-01,1.006720112,1.145338378,-9.30E-01,0.882303751,-1.13E+00,Cluster 1
